Country,Year,Value
Bahrain,1964,8.747480495
Bahrain,1963,6.714155733
Bahrain,1962,9.193608577
Bahrain,1961,10.54739644
Bahrain,1960,3.542864352
Bangladesh,2011,0.372017166
Bangladesh,2010,0.370359878
Bangladesh,2009,0.352155282
Bangladesh,2008,0.334439662
Bangladesh,2007,0.319840389
Bangladesh,2006,0.332345776
Bangladesh,2005,0.262742269
Bangladesh,2004,0.282229562
Bangladesh,2003,0.24446636
Bangladesh,2002,0.247430419
Bangladesh,2001,0.242619016
Bangladesh,2000,0.212287044
Bangladesh,1999,0.196015725
Bangladesh,1998,0.190602088
Bangladesh,1997,0.202825216
Bangladesh,1996,0.198614945
Bangladesh,1995,0.192658144
Bangladesh,1994,0.163650969
Bangladesh,1993,0.153445767
Bangladesh,1992,0.159912482
Bangladesh,1991,0.146903476
Bangladesh,1990,0.14656494
Bangladesh,1989,0.130117492
Bangladesh,1988,0.134411176
Bangladesh,1987,0.120864332
Bangladesh,1986,0.11996804
Bangladesh,1985,0.110031468
Bangladesh,1984,0.10074583
Bangladesh,1983,0.093399511
Bangladesh,1982,0.100143152
Bangladesh,1981,0.09487752
Bangladesh,1980,0.093878675
Bangladesh,1979,0.08400439
Bangladesh,1978,0.078202389
Bangladesh,1977,0.077652827
Bangladesh,1976,0.076376762
Bangladesh,1975,0.068350464
Bangladesh,1974,0.066736729
Bangladesh,1973,0.066334334
Bangladesh,1972,0.05192953
Barbados,2011,5.580177618
Barbados,2010,5.430338453
Barbados,2009,5.833678079
Barbados,2008,5.871114076
Barbados,2007,5.178740847
Barbados,2006,4.986394706
Barbados,2005,4.938170817
Barbados,2004,4.739998755
Barbados,2003,4.660168001
Barbados,2002,4.525009301
Barbados,2001,4.511171616
Barbados,2000,4.403041825
Barbados,1999,4.499888443
Barbados,1998,4.256171883
Barbados,1997,3.379293035
Barbados,1996,3.199007295
Barbados,1995,3.127776813
Barbados,1994,2.833429919
Barbados,1993,4.237195495
Barbados,1992,3.734358313
Barbados,1991,4.617415732
Barbados,1990,4.126491124
Barbados,1989,3.816052171
Barbados,1988,3.65956739
Barbados,1987,3.658331037
